index,id,name,name.1,rating,rating_count,type_id,price,acidity,intensity,sweetness,tannin,style_name,style_grapes
0,1163254,Veuve du Vernay Brut 2008,Brut,3.7,1349,3,17.28,4.0051155,3.6481743,0.0,0.0,French Crémant,"[{'id': 5, 'name': 'Chardonnay', 'seo_name': 'chardonnay', 'has_detailed_info': True, 'wines_count': 538420}, {'id': 13, 'name': 'Pinot Gris', 'seo_name': 'pinot-gris', 'has_detailed_info': True, 'wines_count': 64314}, {'id': 14, 'name': 'Pinot Noir', 'seo_name': 'pinot-noir', 'has_detailed_info': True, 'wines_count': 510456}, {'id': 23, 'name': 'Roussanne', 'seo_name': 'roussanne', 'has_detailed_info': False, 'wines_count': 34404}, {'id': 36, 'name': 'Pinot Blanc', 'seo_name': 'pinot-blanc', 'has_detailed_info': False, 'wines_count': 44322}, {'id': 642, 'name': 'Auxerrois', 'seo_name': 'auxerrois', 'has_detailed_info': False, 'wines_count': 5424}]"
1,20670256,Bouchard Père & Fils Beaune du Château Premier Cru 2015,Beaune du Château Premier Cru,4.1,1238,1,80.58,3.7979276,2.6302745,1.3984678999999998,2.2670937,Burgundy Côte de Beaune Red,"[{'id': 14, 'name': 'Pinot Noir', 'seo_name': 'pinot-noir', 'has_detailed_info': True, 'wines_count': 510456}]"
2,4577571,Louis Jadot Beaune Premier Cru 2014,Beaune Premier Cru,4.0,616,1,111.5,3.8617842,2.6065092,1.5366132,2.2512338,Burgundy Côte de Beaune Red,"[{'id': 14, 'name': 'Pinot Noir', 'seo_name': 'pinot-noir', 'has_detailed_info': True, 'wines_count': 510456}]"
3,1163255,Veuve du Vernay Brut Rosé 2008,Brut Rosé,3.6,601,3,13.29,3.935606,3.56633,0.0,0.0,French Crémant,"[{'id': 5, 'name': 'Chardonnay', 'seo_name': 'chardonnay', 'has_detailed_info': True, 'wines_count': 538420}, {'id': 13, 'name': 'Pinot Gris', 'seo_name': 'pinot-gris', 'has_detailed_info': True, 'wines_count': 64314}, {'id': 14, 'name': 'Pinot Noir', 'seo_name': 'pinot-noir', 'has_detailed_info': True, 'wines_count': 510456}, {'id': 23, 'name': 'Roussanne', 'seo_name': 'roussanne', 'has_detailed_info': False, 'wines_count': 34404}, {'id': 36, 'name': 'Pinot Blanc', 'seo_name': 'pinot-blanc', 'has_detailed_info': False, 'wines_count': 44322}, {'id': 642, 'name': 'Auxerrois', 'seo_name': 'auxerrois', 'has_detailed_info': False, 'wines_count': 5424}]"
4,1243206,Bouchard Père & Fils Vigne de l'Enfant Jésus Beaune 1er Cru 'Les Grèves' 2008,Vigne de l'Enfant Jésus Beaune 1er Cru 'Les Grèves',4.3,495,1,174.5,3.872553,2.6775532,1.6821107,2.288669,Burgundy Côte de Beaune Red,"[{'id': 14, 'name': 'Pinot Noir', 'seo_name': 'pinot-noir', 'has_detailed_info': True, 'wines_count': 510456}]"
5,2613292,Joseph Drouhin Beaune 1er Cru 'Clos des Mouches' 2011,Beaune 1er Cru 'Clos des Mouches',4.2,443,1,218.0,3.82706,2.6676571,1.646338,2.2081306,Burgundy Côte de Beaune Red,"[{'id': 14, 'name': 'Pinot Noir', 'seo_name': 'pinot-noir', 'has_detailed_info': True, 'wines_count': 510456}]"
6,1681536,Joseph Drouhin Beaune 1er Cru 'Clos des Mouches' Blanc 2010,Beaune 1er Cru 'Clos des Mouches' Blanc,4.3,372,2,269.0,3.1833272,3.703508,1.7832276000000002,0.0,Burgundy Côte de Beaune White,"[{'id': 5, 'name': 'Chardonnay', 'seo_name': 'chardonnay', 'has_detailed_info': True, 'wines_count': 538420}, {'id': 13, 'name': 'Pinot Gris', 'seo_name': 'pinot-gris', 'has_detailed_info': True, 'wines_count': 64314}, {'id': 36, 'name': 'Pinot Blanc', 'seo_name': 'pinot-blanc', 'has_detailed_info': False, 'wines_count': 44322}, {'id': 50, 'name': 'Aligoté', 'seo_name': 'aligote', 'has_detailed_info': False, 'wines_count': 8755}]"
7,20053598,Chanson Beaune Premier Cru Bastion Rouge 2014,Beaune Premier Cru Bastion Rouge,4.1,365,1,50.16,3.895167,2.5990787,1.2867169,2.2478728,Burgundy Côte de Beaune Red,"[{'id': 14, 'name': 'Pinot Noir', 'seo_name': 'pinot-noir', 'has_detailed_info': True, 'wines_count': 510456}]"
8,2346134,Bouchard Père & Fils Beaune du Château Premier Cru Blanc 2012,Beaune du Château Premier Cru Blanc,3.9,329,2,78.17,3.230297,3.7801466,1.4935746,0.0,Burgundy Côte de Beaune White,"[{'id': 5, 'name': 'Chardonnay', 'seo_name': 'chardonnay', 'has_detailed_info': True, 'wines_count': 538420}, {'id': 13, 'name': 'Pinot Gris', 'seo_name': 'pinot-gris', 'has_detailed_info': True, 'wines_count': 64314}, {'id': 36, 'name': 'Pinot Blanc', 'seo_name': 'pinot-blanc', 'has_detailed_info': False, 'wines_count': 44322}, {'id': 50, 'name': 'Aligoté', 'seo_name': 'aligote', 'has_detailed_info': False, 'wines_count': 8755}]"
9,1163256,Veuve du Vernay Demi-Sec 2008,Demi-Sec,3.7,275,3,26.02,4.214174,3.682608600000001,0.0,0.0,French Crémant,"[{'id': 5, 'name': 'Chardonnay', 'seo_name': 'chardonnay', 'has_detailed_info': True, 'wines_count': 538420}, {'id': 13, 'name': 'Pinot Gris', 'seo_name': 'pinot-gris', 'has_detailed_info': True, 'wines_count': 64314}, {'id': 14, 'name': 'Pinot Noir', 'seo_name': 'pinot-noir', 'has_detailed_info': True, 'wines_count': 510456}, {'id': 23, 'name': 'Roussanne', 'seo_name': 'roussanne', 'has_detailed_info': False, 'wines_count': 34404}, {'id': 36, 'name': 'Pinot Blanc', 'seo_name': 'pinot-blanc', 'has_detailed_info': False, 'wines_count': 44322}, {'id': 642, 'name': 'Auxerrois', 'seo_name': 'auxerrois', 'has_detailed_info': False, 'wines_count': 5424}]"
