id,name,rating,name,wine_id,winery_id,winery_name,price,acidity,fizziness,intensity,sweetness,tannin,style_id,style_name,style_varietal_name
159642772,Pierre Jean Merlot 2019,3.5,Merlot,1146984,14326,Pierre Jean,24.83333333,3.7999308,,3.6392856,2.1256452,3.6588943,94,Languedoc-Roussillon Red,Red
156214194,Casillero del Diablo Pinot Noir (Reserva) 2018,3.5,Pinot Noir (Reserva),1135187,212219,Casillero del Diablo,24.5,3.1256082,,2.8687334,1.5050077,1.493261,159,Chilean Pinot Noir,Pinot Noir
159323722,Casillero del Diablo Merlot (Reserva) 2019,3.5,Merlot (Reserva),1135161,212219,Casillero del Diablo,24.5,1.8724513,,3.8979764,1.9063452,1.8885007,113,Chilean Merlot,Merlot
156094408,Casillero del Diablo Cabernet Sauvignon (Reserva) 2018,3.6,Cabernet Sauvignon (Reserva),1135067,212219,Casillero del Diablo,24.5,3.089265,,4.2020664,1.5968882,3.1834888,34,Chilean Cabernet Sauvignon,Cabernet Sauvignon
159361030,Casillero del Diablo Pinot Noir (Reserva) 2019,3.4,Pinot Noir (Reserva),1135187,212219,Casillero del Diablo,24.5,3.1256082,,2.8687334,1.5050077,1.493261,159,Chilean Pinot Noir,Pinot Noir
162922773,Casillero del Diablo Chardonnay (Reserva) 2020,3.7,Chardonnay (Reserva),1135140,212219,Casillero del Diablo,24.5,1.9093285,,3.8598595,2.9840863,,57,Chilean Chardonnay,Chardonnay
159364828,Casillero del Diablo Carmenere (Reserva) 2019,3.6,Carmenere (Reserva),1135108,212219,Casillero del Diablo,24.5,2.9982986,,4.1869044,1.6828207,2.5974348,45,Chilean Carménère,Carménère
159364549,Casillero del Diablo Chardonnay (Reserva) 2019,3.4,Chardonnay (Reserva),1135140,212219,Casillero del Diablo,24.5,1.9093285,,3.8598595,2.9840863,,57,Chilean Chardonnay,Chardonnay
159365037,Casillero del Diablo Cabernet Sauvignon (Reserva) 2019,3.5,Cabernet Sauvignon (Reserva),1135067,212219,Casillero del Diablo,24.5,3.089265,,4.2020664,1.5968882,3.1834888,34,Chilean Cabernet Sauvignon,Cabernet Sauvignon
159346251,Casillero del Diablo Shiraz (Reserva) 2019,3.6,Shiraz (Reserva),1239713,212219,Casillero del Diablo,24.5,2.3269043,,4.6207967,1.442421,3.0133197,221,Chilean Syrah,Syrah
159364979,Casillero del Diablo Sauvignon Blanc (Reserva) 2019,3.5,Sauvignon Blanc (Reserva),1135203,212219,Casillero del Diablo,24.5,4.0054154,,2.957134,1.3185818,,200,Chilean Sauvignon Blanc,Sauvignon Blanc
160128493,Cono Sur Bicicleta Reserva Cabernet Sauvignon 2019,3.5,Bicicleta Reserva Cabernet Sauvignon,6410715,2500,Cono Sur,23.6,3.0703633,,3.660844,1.819184,3.0964532,34,Chilean Cabernet Sauvignon,Cabernet Sauvignon
21284308,Château du Grand Plantier Côtes de Bordeaux 2014,3.3,Côtes de Bordeaux,1500405,243088,Château du Grand Plantier,23,,,,,,19,Bordeaux Red,Red
34135677,Château Turcaud Entre-Deux-Mers Blanc 2015,3.8,Entre-Deux-Mers Blanc,1226576,16658,Château Turcaud,23,3.0129693,,3.8868454,1.6458039,,21,Bordeaux White,White
159336050,Yellow Tail Cabernet Sauvignon 2019,3.4,Cabernet Sauvignon,2549,1941,Yellow Tail,22.48,3.3927464,,3.9353614,1.9713901,3.4533026,30,Australian Cabernet Sauvignon,Cabernet Sauvignon
159365002,Frontera Merlot 2019,3.3,Merlot,1135162,175219,Frontera,21.5,1.9402627,,3.7624464,1.9062531,1.8358672,113,Chilean Merlot,Merlot
159364672,Frontera Sauvignon Blanc 2019,3.3,Sauvignon Blanc,1135274,175219,Frontera,21.5,3.9933276,,2.9186342,1.2410309,,200,Chilean Sauvignon Blanc,Sauvignon Blanc
162879166,Frontera Cabernet Sauvignon 2020,3.4,Cabernet Sauvignon,1135072,175219,Frontera,21.5,3.0437524,,4.095938,1.6564316,3.1505854,34,Chilean Cabernet Sauvignon,Cabernet Sauvignon
159364758,Frontera Cabernet Sauvignon 2019,3.2,Cabernet Sauvignon,1135072,175219,Frontera,21.5,3.0437524,,4.095938,1.6564316,3.1505854,34,Chilean Cabernet Sauvignon,Cabernet Sauvignon
162969041,Frontera Carmenère 2020,3.7,Carmenère,1135109,175219,Frontera,21.5,2.8739529,,4.1122465,1.4971582,2.5136309,45,Chilean Carménère,Carménère
158393787,Seigneur de La Tour Cuvée Collection Bordeaux 2017,3.1,Cuvée Collection Bordeaux,3945701,248946,Seigneur de La Tour,20.99,3.3976505,,3.3666766,2.4003153,3.2496848,19,Bordeaux Red,Red
159364895,Frontera Chardonnay 2019,3.3,Chardonnay,1135142,175219,Frontera,19,1.9110307,,3.7763984,3.0768905,,57,Chilean Chardonnay,Chardonnay
2142802,Jean Pierre & Co Rosé,3.2,Rosé,1373379,123964,Jean Pierre & Co,8.62,,,,,,,,
164942575,Fratelli Cella Lambrusco dell'Emilia Rosso,3.5,Lambrusco dell'Emilia Rosso,1236744,14662,Fratelli Cella,23.71,,,,,,,,
161504001,Andréa Calek A Toi Nous 2019,3.9,A Toi Nous,1721321,47126,Andréa Calek,22.56,,,,,,,,
160377661,Richard Rottiers Brouilly 2018,3.8,Brouilly,5583285,19842,Richard Rottiers,20.95,4.57775,,1.5625501,1.5772,2.14025,8,Beaujolais Red,Red
3109934,Chateau Plantier Chene Vert Cuvée Prestige Bordeaux 2012,2.9,Cuvée Prestige Bordeaux,1500452,35340,Chateau Plantier Chene Vert,22,3.8442717,,3.8242717,1.5749514,3.6328154,19,Bordeaux Red,Red
