index,name,grapes,type
0,Tawny Port,Touriga Nacional,Fortified
1,Tawny Port,Touriga Franca,Fortified
2,Tawny Port,Tinta Roriz,Fortified
3,Ruby Port,Touriga Nacional,Fortified
4,Ruby Port,Touriga Franca,Fortified
5,Ruby Port,Tinta Roriz,Fortified
6,Late Bottled Vintage Port,Touriga Nacional,Fortified
7,Late Bottled Vintage Port,Touriga Franca,Fortified
8,Late Bottled Vintage Port,Tinta Roriz,Fortified
9,Spanish Pedro Ximenez,Pedro Ximenez,Fortified
10,Vintage Port,Touriga Nacional,Fortified
11,Vintage Port,Touriga Franca,Fortified
12,Vintage Port,Tinta Roriz,Fortified
13,Portuguese Madeira,Verdelho,Fortified
14,Portuguese Madeira,Sercial,Fortified
15,Portuguese Madeira,Malmsey,Fortified
16,Portuguese Madeira,Boal Branco,Fortified
17,Portuguese Madeira,Terrantez,Fortified
18,Spanish Sherry,Palomino,Fortified
19,Spanish Sherry,Moscato,Fortified
20,Spanish Sherry,Pedro Ximenez,Fortified
21,Colheita Port,Touriga Nacional,Fortified
22,Colheita Port,Touriga Franca,Fortified
23,Colheita Port,Tinta Roriz,Fortified
24,Bordeaux Sauternes,Sauvignon Blanc,Dessert
25,Bordeaux Sauternes,Sémillon,Dessert
26,Bordeaux Sauternes,Muscadelle,Dessert
27,Southern Italy White,Malvasia,Dessert
28,Southern Italy White,Fiano,Dessert
29,Southern Italy White,Catarratto Bianco,Dessert
30,Provence Rosé,Shiraz/Syrah,Rose
31,Provence Rosé,Grenache,Rose
32,Provence Rosé,Cinsault,Rose
33,Languedoc-Roussillon Rosé,Shiraz/Syrah,Rose
34,Languedoc-Roussillon Rosé,Grenache,Rose
35,Languedoc-Roussillon Rosé,Mourvedre,Rose
36,Southern Rhône Rosé,Shiraz/Syrah,Rose
37,Southern Rhône Rosé,Grenache,Rose
38,Southern Rhône Rosé,Mourvedre,Rose
39,French Champagne,Chardonnay,Sparkling
40,French Champagne,Pinot Noir,Sparkling
41,French Champagne,Pinot Meunier,Sparkling
42,Italian Asti,Moscato,Sparkling
43,Spanish Cava,Xarel-lo,Sparkling
44,Spanish Cava,Parellada,Sparkling
45,Spanish Cava,Trepat,Sparkling
46,Spanish Cava,Viura,Sparkling
47,Italian Prosecco,Glera (Prosecco),Sparkling
48,English Sparkling,Chardonnay,Sparkling
49,English Sparkling,Pinot Noir,Sparkling
50,English Sparkling,Pinot Meunier,Sparkling
51,Italian Moscato d'Asti,Moscatel de grano menudo,Sparkling
