index,name,grapes,type
0,10 Year Old Tawny Port,Touriga Nacional,Fortified
1,10 Year Old Tawny Port,Touriga Franca,Fortified
2,10 Year Old Tawny Port,Tinta Roriz,Fortified
3,20 Year Old Tawny Port,Touriga Nacional,Fortified
4,20 Year Old Tawny Port,Touriga Franca,Fortified
5,20 Year Old Tawny Port,Tinta Roriz,Fortified
6,Sauternes,Sauvignon Blanc,Dessert
7,Sauternes,Sémillon,Dessert
8,Sauternes,Muscadelle,Dessert
9,Sauternes (Premier Grand Cru Classé),Sauvignon Blanc,Dessert
10,Sauternes (Premier Grand Cru Classé),Sémillon,Dessert
11,Sauternes (Premier Grand Cru Classé),Muscadelle,Dessert
12,Réserve Sauternes,Sauvignon Blanc,Dessert
13,Réserve Sauternes,Sémillon,Dessert
14,Réserve Sauternes,Muscadelle,Dessert
15,Carmes de Rieussec Sauternes,Sauvignon Blanc,Dessert
16,Carmes de Rieussec Sauternes,Sémillon,Dessert
17,Carmes de Rieussec Sauternes,Muscadelle,Dessert
18,Whispering Angel Rosé,Shiraz/Syrah,Rose
19,Whispering Angel Rosé,Grenache,Rose
20,Whispering Angel Rosé,Cinsault,Rose
21,M Rosé,Shiraz/Syrah,Rose
22,M Rosé,Grenache,Rose
23,M Rosé,Cinsault,Rose
24,Prestige Rosé,Shiraz/Syrah,Rose
25,Prestige Rosé,Grenache,Rose
26,Prestige Rosé,Cinsault,Rose
27,Côtes de Provence Rosé,Shiraz/Syrah,Rose
28,Côtes de Provence Rosé,Grenache,Rose
29,Côtes de Provence Rosé,Cinsault,Rose
30,Brut (Carte Jaune) Champagne,Chardonnay,Sparkling
31,Brut (Carte Jaune) Champagne,Pinot Noir,Sparkling
32,Brut (Carte Jaune) Champagne,Pinot Meunier,Sparkling
33,Impérial Brut Champagne,Chardonnay,Sparkling
34,Impérial Brut Champagne,Pinot Noir,Sparkling
35,Impérial Brut Champagne,Pinot Meunier,Sparkling
36,Brut Premier Champagne,Chardonnay,Sparkling
37,Brut Premier Champagne,Pinot Noir,Sparkling
38,Brut Premier Champagne,Pinot Meunier,Sparkling
39,Special Cuvée Brut Aÿ Champagne,Chardonnay,Sparkling
40,Special Cuvée Brut Aÿ Champagne,Pinot Noir,Sparkling
41,Special Cuvée Brut Aÿ Champagne,Pinot Meunier,Sparkling
42,Brut (Réserve) Champagne,Chardonnay,Sparkling
43,Brut (Réserve) Champagne,Pinot Noir,Sparkling
44,Brut (Réserve) Champagne,Pinot Meunier,Sparkling
